Provinsi,Kabupaten_Kota,Tahun,Garis Kemiskinan (Rupiah/Kapita/Bulan),Indeks Pembangunan Gender,Indeks Pembangunan Manusia,Kepadatan Penduduk (Jiwa/km2),PDRB ADHK (Milyar Rupiah),Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),Persentase Penduduk Miskin (%),Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),Rata-Rata Lama Sekolah (Tahun),Umur Harapan Hidup (Tahun)
Bangka Belitung,Belitung,2020,812321.0,88.28,72.97,79.0,6352.86,13554.0,6.27,91.16,8.46,71.05
Bangka Belitung,Belitung,2021,830484.0,88.29,73.01,80.0,,13563.0,7.15,94.57,8.47,71.1
Bangka Belitung,Belitung,2022,860629.0,88.84,73.83,82.0,7093.18,14045.0,6.45,92.69,8.74,71.31
Bangka Belitung,Belitung,2023,896948.0,89.21,74.49,83.0,7500.36,14365.0,6.46,92.62,8.98,71.54
Bangka Belitung,Belitung,2024,919372.0,89.7,74.96,84.0,7638.73,14449.0,,94.17,,71.75
Bangka Belitung,Belitung Timur,2020,725395.0,86.37,71.4,51.0,5465.46,11730.0,6.52,87.35,8.22,72.03
Bangka Belitung,Belitung Timur,2021,798017.0,86.56,71.91,51.0,5714.79,11760.0,,89.46,8.47,72.1
Bangka Belitung,Belitung Timur,2022,854534.0,86.95,72.76,50.0,,12357.0,6.49,89.92,8.67,72.33
Bangka Belitung,Belitung Timur,2023,899482.0,87.3,73.31,51.0,6209.89,12536.0,6.73,90.03,,72.59
Bangka Belitung,Belitung Timur,2024,907577.0,87.69,73.62,51.0,,12610.0,6.36,91.5,8.99,72.85
Bangka Belitung,Kota Pangkal Pinang,2020,795653.0,93.16,78.76,2445.0,8797.13,15663.0,4.36,97.26,9.92,73.3
Bangka Belitung,Kota Pangkal Pinang,2021,808839.0,93.25,79.12,2483.0,9611.44,15716.0,4.76,96.78,10.13,73.41
Bangka Belitung,Kota Pangkal Pinang,2022,858840.0,93.35,79.77,2165.0,10208.03,16307.0,4.55,91.47,10.27,73.68
Bangka Belitung,Kota Pangkal Pinang,2023,894224.0,93.16,80.45,2175.0,10750.81,16734.0,4.27,95.35,,73.96
Bangka Belitung,Kota Pangkal Pinang,2024,925522.0,93.82,80.9,2204.0,10503.91,16750.0,,96.96,10.67,74.24
Banten,Kota Cilegon,2020,504571.0,87.22,76.8,2478.0,73319.12,13010.0,3.69,94.38,9.87,66.67
Banten,Kota Cilegon,2021,540032.0,87.25,77.11,2517.0,77163.94,13041.0,4.24,97.07,,66.69
Banten,Kota Cilegon,2022,572780.0,87.57,77.68,2771.0,80646.38,13185.0,3.64,87.72,10.34,67.02
Banten,Kota Cilegon,2023,632703.0,88.05,78.24,2772.0,84536.65,13663.0,3.98,96.23,10.38,67.39
Banten,Kota Cilegon,2024,663533.0,88.29,78.83,2804.0,88628.11,14294.0,3.75,97.1,10.39,67.66
Banten,Kota Serang,2020,411595.0,92.28,75.25,2595.0,22518.66,13212.0,,87.34,8.76,68.0
Banten,Kota Serang,2021,431210.0,92.47,75.53,2642.0,23392.75,13281.0,6.79,90.76,8.89,68.12
Banten,Kota Serang,2022,460613.0,92.63,76.01,2710.0,24495.02,13709.0,5.94,91.55,,68.54
Banten,Kota Serang,2023,511575.0,92.49,76.43,2723.0,25655.25,14088.0,,92.36,8.91,68.98
Banten,Kota Serang,2024,540786.0,92.61,76.9,2765.0,26863.08,14603.0,5.65,92.71,8.93,69.27
Banten,Kota Tangerang,2020,632835.0,95.06,79.83,12314.0,102415.7,14484.0,5.22,95.1,10.69,71.6
Banten,Kota Tangerang,2021,655061.0,94.72,80.08,12421.0,106413.7,14575.0,5.93,94.94,10.83,71.6
Banten,Kota Tangerang,2022,695225.0,94.73,80.44,10825.0,112778.1,14909.0,5.77,94.43,10.84,71.91
Banten,Kota Tangerang,2023,746468.0,94.89,80.98,10937.0,119059.9,15377.0,5.89,94.95,10.91,72.24
Banten,Kota Tangerang,2024,785113.0,94.95,81.53,11012.0,125060.3,15641.0,5.43,96.93,11.14,72.46
Banten,Kota Tangerang Selatan,2020,643083.0,93.58,82.73,9201.0,59531.08,15667.0,2.29,97.45,11.81,72.47
Banten,Kota Tangerang Selatan,2021,665610.0,93.8,82.98,9278.0,62393.12,15751.0,2.57,98.84,11.82,72.47
Banten,Kota Tangerang Selatan,2022,712717.0,93.96,83.28,8361.0,66021.24,15997.0,,97.56,11.84,72.78
Banten,Kota Tangerang Selatan,2023,782543.0,94.23,83.57,8441.0,69561.56,16225.0,2.57,99.29,11.85,73.11
Banten,Kota Tangerang Selatan,2024,828278.0,94.47,84.16,8489.0,73052.84,17028.0,2.36,99.34,11.86,73.31
Banten,Lebak,2020,334509.0,79.81,66.39,405.0,20622.04,8690.0,9.24,63.35,,67.21
Banten,Lebak,2021,358479.0,79.87,66.5,411.0,21278.48,8724.0,10.29,56.82,6.41,67.33
Banten,Lebak,2022,380681.0,80.2,67.19,433.0,22087.37,8854.0,8.91,67.4,6.59,67.74
Banten,Lebak,2023,419066.0,80.75,67.68,433.0,22706.47,9130.0,8.68,68.83,,68.13
Banten,Lebak,2024,440705.0,81.22,68.33,438.0,23377.24,9631.0,8.44,70.23,6.61,68.34
